key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign_umbrella=Cash for Gold US,412.21,412.21,0,22322,22322,0,17139,17139,0,473,473,0,2,2,0,0,0,0,2,2,0,0,0,0,21,21,0,16,16,0,21,21,0,0,0,0,2.12,2.12,0,18.47,18.47,0,0.87,0.87,0,206.11,206.11,0,1.3,1.3,0,32,32,0
campaign_umbrella=Excluded / Non-umbrella,3124.37,1632.15,-1492.22,1569260,788096,-781164,1502052,753658,-748394,15159,7805,-7354,0,0,0,0,0,0,0,0,0,0,0,0,209,117,-92,27,15,-12,209,117,-92,0,0,0,0.97,0.99,0.02,1.99,2.07,0.08,0.21,0.21,0,,,,1.04,1.05,0.01,1345,743,-602
campaign_umbrella=Facebook US Product,71689.12,65717.83,-5971.29,6500613,5958087,-542526,5519995,5057482,-462513,289559,263811,-25748,123,96,-27,0,0,0,128,101,-27,0,0,0,12343,11151,-1192,5942,5377,-565,12343,11151,-1192,5942,5377,-565,4.45,4.43,-0.02,11.03,11.03,0,0.25,0.25,0,582.84,684.56,101.72,1.18,1.18,0,31984,28304,-3680
campaign_umbrella=Facebook VN Product,35177.79,52313.12,17135.33,9150716,12439445,3288729,8203343,11031038,2827695,317984,444381,126397,31,175,144,0,0,0,33,177,144,0,0,0,19311,25726,6415,15815,20763,4948,19311,25726,6415,15815,20763,4948,3.47,3.57,0.1,3.84,4.21,0.37,0.11,0.12,0.01,1134.77,298.93,-835.84,1.12,1.13,0.01,11256,14454,3198
campaign_umbrella=Needs review,573.57,1119.81,546.24,131817,261840,130023,97371,192402,95031,3916,8274,4358,0,0,0,0,0,0,0,0,0,0,0,0,263,580,317,249,546,297,263,580,317,0,0,0,2.97,3.16,0.19,4.35,4.28,-0.07,0.15,0.14,-0.01,,,,1.35,1.36,0.01,101,208,107
campaign_umbrella=US Promotions (WKDS / OOAK),6061.14,7811.05,1749.91,333011,433265,100254,226323,302225,75902,23662,29742,6080,1,5,4,0,0,0,6,10,4,0,0,0,385,491,106,75,130,55,385,491,106,0,0,0,7.11,6.86,-0.25,18.2,18.03,-0.17,0.26,0.26,0,6061.14,1562.21,-4498.93,1.47,1.43,-0.04,755,1193,438
campaign_umbrella=VN Promotions (WKDS / OOAK),4040.76,5766.99,1726.23,679072,900671,221599,575040,753094,178054,27253,39003,11750,5,17,12,0,0,0,5,17,12,0,0,0,578,769,191,478,635,157,578,769,191,0,0,0,4.01,4.33,0.32,5.95,6.4,0.45,0.15,0.15,0,808.15,339.23,-468.92,1.18,1.2,0.02,632,1171,539
