key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
ad=120237817957100650,5.33,5.33,0,275,275,0,246,246,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,12.73,12.73,0,19.38,19.38,0,0.15,0.15,0,,,,1.12,1.12,0,7,7,0
ad=120238518351460650,15.13,15.13,0,430,430,0,351,351,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,8,8,0,0,0,0,13.95,13.95,0,35.19,35.19,0,0.25,0.25,0,,,,1.23,1.23,0,8,8,0
ad=120238518432880650,10.96,10.96,0,335,335,0,261,261,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,18.51,18.51,0,32.72,32.72,0,0.18,0.18,0,,,,1.28,1.28,0,7,7,0
ad=120238909559770650,0.78,0.78,0,18,18,0,16,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,43.33,43.33,0,0.78,0.78,0,,,,1.13,1.13,0,1,1,0
ad=120239069088720650,5.06,5.06,0,588,588,0,429,429,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,7.48,0,8.61,8.61,0,0.12,0.12,0,,,,1.37,1.37,0,8,8,0
ad=120239091886200650,0.44,0.44,0,26,26,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,16.92,0,0,0,0,,,,1.3,1.3,0,1,1,0
ad=120239092091500650,6.33,6.33,0,320,320,0,256,256,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.25,0,19.78,19.78,0,1.58,1.58,0,,,,1.25,1.25,0,2,2,0
ad=120239321948250650,2.85,2.85,0,119,119,0,103,103,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,6.72,6.72,0,23.95,23.95,0,0.36,0.36,0,,,,1.16,1.16,0,11,11,0
ad=120239618240360650,0,0,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.25,1.25,0,2,2,0
ad=120240342858970650,12.14,12.14,0,748,748,0,734,734,0,14,14,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,1.87,0,16.23,16.23,0,0.87,0.87,0,12.14,12.14,0,1.02,1.02,0,4,4,0
ad=120240342948000650,147.35,147.35,0,11441,11441,0,10138,10138,0,268,268,0,28,28,0,0,0,0,28,28,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2.34,2.34,0,12.88,12.88,0,0.55,0.55,0,5.26,5.26,0,1.13,1.13,0,5,5,0
ad=120240387520890650,27.73,27.73,0,1546,1546,0,1320,1320,0,92,92,0,2,2,0,0,0,0,3,3,0,0,0,0,7,7,0,1,1,0,7,7,0,1,1,0,5.95,5.95,0,17.94,17.94,0,0.3,0.3,0,13.87,13.87,0,1.17,1.17,0,25,25,0
ad=120240387741760650,23.87,23.87,0,1275,1275,0,1082,1082,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,2,0,8,8,0,2,2,0,6.35,6.35,0,18.72,18.72,0,0.29,0.29,0,,,,1.18,1.18,0,29,29,0
ad=120240388019970650,206.27,206.27,0,11499,11499,0,9004,9004,0,692,692,0,16,16,0,0,0,0,18,18,0,0,0,0,76,76,0,33,33,0,76,76,0,33,33,0,6.02,6.02,0,17.94,17.94,0,0.3,0.3,0,12.89,12.89,0,1.28,1.28,0,30,30,0
ad=120240389004840650,30.55,30.55,0,1783,1783,0,1506,1506,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,7,7,0,12,12,0,7,7,0,4.21,4.21,0,17.13,17.13,0,0.41,0.41,0,,,,1.18,1.18,0,22,22,0
ad=120240389004850650,5.41,5.41,0,222,222,0,197,197,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,8.56,0,24.37,24.37,0,0.28,0.28,0,,,,1.13,1.13,0,15,15,0
ad=120240390625790650,269.11,269.11,0,15939,15939,0,12544,12544,0,1056,1056,0,12,12,0,0,0,0,13,13,0,0,0,0,134,134,0,86,86,0,134,134,0,86,86,0,6.63,6.63,0,16.88,16.88,0,0.25,0.25,0,22.43,22.43,0,1.27,1.27,0,30,30,0
ad=120240391467560650,23.13,23.13,0,1210,1210,0,1019,1019,0,56,56,0,1,1,0,0,0,0,1,1,0,0,0,0,5,5,0,2,2,0,5,5,0,2,2,0,4.63,4.63,0,19.12,19.12,0,0.41,0.41,0,23.13,23.13,0,1.19,1.19,0,25,25,0
ad=120240391899300650,37.3,37.3,0,2015,2015,0,1676,1676,0,112,112,0,4,4,0,0,0,0,6,6,0,0,0,0,13,13,0,8,8,0,13,13,0,8,8,0,5.56,5.56,0,18.51,18.51,0,0.33,0.33,0,9.32,9.33,0.01,1.2,1.2,0,29,29,0
ad=120240392096000650,416.25,416.25,0,39173,39173,0,31196,31196,0,1740,1740,0,32,32,0,0,0,0,39,39,0,0,0,0,167,167,0,117,117,0,167,167,0,117,117,0,4.44,4.44,0,10.63,10.63,0,0.24,0.24,0,13.01,13.01,0,1.26,1.26,0,29,29,0
ad=120240788277480650,282.77,282.77,0,11114,11114,0,9295,9295,0,712,712,0,15,15,0,0,0,0,16,16,0,0,0,0,124,124,0,112,112,0,124,124,0,0,0,0,6.41,6.41,0,25.44,25.44,0,0.4,0.4,0,18.85,18.85,0,1.2,1.2,0,28,28,0
ad=120240994030640650,5.51,5.51,0,259,259,0,222,222,0,18,18,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,6.95,6.95,0,21.27,21.27,0,0.31,0.31,0,5.51,5.51,0,1.17,1.17,0,20,20,0
ad=120240994161060650,11.82,11.82,0,605,605,0,515,515,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6.61,6.61,0,19.54,19.54,0,0.3,0.3,0,,,,1.17,1.17,0,18,18,0
ad=120242070485520650,35.06,35.06,0,4176,4176,0,3162,3162,0,293,293,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2,2,0,10,10,0,2,2,0,7.02,7.02,0,8.4,8.4,0,0.12,0.12,0,,,,1.32,1.32,0,28,28,0
ad=120242070741050650,220.39,220.39,0,31218,31218,0,22132,22132,0,1861,1861,0,5,5,0,0,0,0,9,9,0,0,0,0,163,163,0,107,107,0,163,163,0,107,107,0,5.96,5.96,0,7.06,7.06,0,0.12,0.12,0,44.08,44.08,0,1.41,1.41,0,30,30,0
ad=120242074710870650,47.88,47.88,0,4185,4185,0,3031,3031,0,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,8,8,0,19,19,0,8,8,0,5.4,5.4,0,11.44,11.44,0,0.21,0.21,0,,,,1.38,1.38,0,26,26,0
ad=120242074827600650,15.2,15.2,0,1619,1619,0,1244,1244,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,4,4,0,8,8,0,4,4,0,6.79,6.79,0,9.39,9.39,0,0.14,0.14,0,,,,1.3,1.3,0,13,13,0
ad=120242074938940650,0.68,0.68,0,61,61,0,52,52,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4.92,4.92,0,11.15,11.15,0,0.23,0.23,0,,,,1.17,1.17,0,14,14,0
ad=120242075003110650,0.76,0.76,0,71,71,0,68,68,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,8.45,0,10.7,10.7,0,0.13,0.13,0,,,,1.04,1.04,0,10,10,0
