key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign_umbrella=Cash for Gold US,412.21,412.21,0,22322,22322,0,17139,17139,0,473,473,0,2,2,0,0,0,0,2,2,0,0,0,0,21,21,0,16,16,0,21,21,0,0,0,0,2.12,2.12,0,18.47,18.47,0,0.87,0.87,0,206.11,206.11,0,1.3,1.3,0,32,32,0
campaign_umbrella=Excluded / Non-umbrella,1632.15,1632.15,0,788096,788096,0,753658,753658,0,7805,7805,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,0,15,15,0,117,117,0,0,0,0,0.99,0.99,0,2.07,2.07,0,0.21,0.21,0,,,,1.05,1.05,0,743,743,0
campaign_umbrella=Facebook US Product,65717.83,65717.83,0,5958087,5958087,0,5057482,5057482,0,263811,263811,0,96,96,0,0,0,0,101,101,0,0,0,0,11151,11151,0,5377,5377,0,11151,11151,0,5377,5377,0,4.43,4.43,0,11.03,11.03,0,0.25,0.25,0,684.56,684.56,0,1.18,1.18,0,28304,28304,0
campaign_umbrella=Facebook VN Product,52313.12,52313.12,0,12439445,12439445,0,11031038,11031038,0,444381,444381,0,175,175,0,0,0,0,177,177,0,0,0,0,25726,25726,0,20763,20763,0,25726,25726,0,20763,20763,0,3.57,3.57,0,4.21,4.21,0,0.12,0.12,0,298.93,298.93,0,1.13,1.13,0,14454,14454,0
campaign_umbrella=Needs review,1119.81,1119.81,0,261840,261840,0,192402,192402,0,8274,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,580,580,0,546,546,0,580,580,0,0,0,0,3.16,3.16,0,4.28,4.28,0,0.14,0.14,0,,,,1.36,1.36,0,208,208,0
campaign_umbrella=US Promotions (WKDS / OOAK),7811.05,7811.05,0,433265,433265,0,302225,302225,0,29742,29742,0,5,5,0,0,0,0,10,10,0,0,0,0,491,491,0,130,130,0,491,491,0,0,0,0,6.86,6.86,0,18.03,18.03,0,0.26,0.26,0,1562.21,1562.21,0,1.43,1.43,0,1193,1193,0
campaign_umbrella=VN Promotions (WKDS / OOAK),5766.99,5766.99,0,900671,900671,0,753094,753094,0,39003,39003,0,17,17,0,0,0,0,17,17,0,0,0,0,769,769,0,635,635,0,769,769,0,0,0,0,4.33,4.33,0,6.4,6.4,0,0.15,0.15,0,339.23,339.23,0,1.2,1.2,0,1171,1171,0
