key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign_umbrella=Book Appts US,3501.08,3501.08,0,129394,129394,0,106183,106183,0,3140,3140,0,14,14,0,18,18,0,14,14,0,18,18,0,26,26,0,18,18,0,18,18,0,0,0,0,2.43,2.43,0,27.06,27.06,0,1.11,1.11,0,250.08,250.08,0,1.22,1.22,0,305,305,0
campaign_umbrella=Cash for Gold US,2095.59,2095.59,0,144335,144335,0,116944,116944,0,4776,4776,0,63,63,0,0,0,0,67,67,0,0,0,0,428,428,0,336,336,0,428,428,0,0,0,0,3.31,3.31,0,14.52,14.52,0,0.44,0.44,0,33.26,33.26,0,1.23,1.23,0,247,247,0
campaign_umbrella=Excluded / Non-umbrella,159.49,159.49,0,12189,12189,0,10872,10872,0,282,282,0,29,29,0,0,0,0,29,29,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2.31,2.31,0,13.08,13.08,0,0.57,0.57,0,5.5,5.5,0,1.12,1.12,0,9,9,0
campaign_umbrella=Facebook US Product,1526.54,1526.54,0,101890,101890,0,82036,82036,0,5417,5417,0,91,91,0,0,0,0,107,107,0,0,0,0,605,605,0,389,389,0,605,605,0,389,389,0,5.32,5.32,0,14.98,14.98,0,0.28,0.28,0,16.78,16.78,0,1.24,1.24,0,465,465,0
campaign_umbrella=Facebook VN Product,441.75,441.75,0,54361,54361,0,39596,39596,0,3220,3220,0,6,6,0,0,0,0,11,11,0,0,0,0,256,256,0,154,154,0,256,256,0,154,154,0,5.92,5.92,0,8.13,8.13,0,0.14,0.14,0,73.63,73.63,0,1.37,1.37,0,206,206,0
campaign_umbrella=US Promotions (WKDS / OOAK),405.39,405.39,0,15722,15722,0,13243,13243,0,1047,1047,0,21,21,0,0,0,0,22,22,0,0,0,0,163,163,0,142,142,0,163,163,0,0,0,0,6.66,6.66,0,25.78,25.78,0,0.39,0.39,0,19.3,19.3,0,1.19,1.19,0,89,89,0
campaign_umbrella=VN Promotions (WKDS / OOAK),442.38,442.38,0,228427,228427,0,187651,187651,0,4338,4338,0,3,3,0,0,0,0,6,6,0,0,0,0,374,374,0,324,324,0,374,374,0,0,0,0,1.9,1.9,0,1.94,1.94,0,0.1,0.1,0,147.46,147.46,0,1.22,1.22,0,70,70,0
