key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
campaign=120204385505670650,441.75,441.75,0,54361,54361,0,39596,39596,0,3220,3220,0,6,6,0,0,0,0,11,11,0,0,0,0,256,256,0,154,154,0,256,256,0,154,154,0,5.92,5.92,0,8.13,8.13,0,0.14,0.14,0,73.63,73.63,0,1.37,1.37,0,206,206,0
campaign=120211096155910650,442.38,442.38,0,228427,228427,0,187651,187651,0,4338,4338,0,3,3,0,0,0,0,6,6,0,0,0,0,374,374,0,324,324,0,374,374,0,0,0,0,1.9,1.9,0,1.94,1.94,0,0.1,0.1,0,147.46,147.46,0,1.22,1.22,0,70,70,0
campaign=120211138936570650,405.39,405.39,0,15722,15722,0,13243,13243,0,1047,1047,0,21,21,0,0,0,0,22,22,0,0,0,0,163,163,0,142,142,0,163,163,0,0,0,0,6.66,6.66,0,25.78,25.78,0,0.39,0.39,0,19.3,19.3,0,1.19,1.19,0,89,89,0
campaign=120226115949280650,763.55,763.55,0,43086,43086,0,34140,34140,0,2584,2584,0,46,46,0,0,0,0,52,52,0,0,0,0,316,316,0,187,187,0,316,316,0,187,187,0,6,6,0,17.72,17.72,0,0.3,0.3,0,16.6,16.6,0,1.26,1.26,0,255,255,0
campaign=120227242817280650,2095.59,2095.59,0,144335,144335,0,116944,116944,0,4776,4776,0,63,63,0,0,0,0,67,67,0,0,0,0,428,428,0,336,336,0,428,428,0,0,0,0,3.31,3.31,0,14.52,14.52,0,0.44,0.44,0,33.26,33.26,0,1.23,1.23,0,247,247,0
campaign=120228013146220650,762.99,762.99,0,58804,58804,0,47896,47896,0,2833,2833,0,45,45,0,0,0,0,55,55,0,0,0,0,289,289,0,202,202,0,289,289,0,202,202,0,4.82,4.82,0,12.98,12.98,0,0.27,0.27,0,16.96,16.96,0,1.23,1.23,0,210,210,0
campaign=120234691669940650,3028.46,3028.46,0,111756,111756,0,91610,91610,0,2706,2706,0,14,14,0,18,18,0,14,14,0,18,18,0,21,21,0,13,13,0,18,18,0,0,0,0,2.42,2.42,0,27.1,27.1,0,1.12,1.12,0,216.32,216.32,0,1.22,1.22,0,246,246,0
campaign=120240341967800650,159.49,159.49,0,12189,12189,0,10872,10872,0,282,282,0,29,29,0,0,0,0,29,29,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2.31,2.31,0,13.08,13.08,0,0.57,0.57,0,5.5,5.5,0,1.12,1.12,0,9,9,0
campaign=120243641988530650,472.62,472.62,0,17638,17638,0,14573,14573,0,434,434,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,2.46,2.46,0,26.8,26.8,0,1.09,1.09,0,,,,1.21,1.21,0,59,59,0
